Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
KL Rahul,14,14,2,670,132*,55.83,518,129.34,1,5,0,58,23
(Kings XI Punjab),,,,,,,,,,,,,
S Dhawan,14,14,3,525,106*,47.72,362,145.02,2,3,3,58,10
(Delhi Capitals),,,,,,,,,,,,,
D Padikkal,14,14,0,472,74,33.71,373,126.54,0,5,0,51,8
(Royal Challengers Bangalore),,,,,,,,,,,,,
V Kohli,14,14,4,460,90*,46,377,122.01,0,3,0,23,11
(Royal Challengers Bangalore),,,,,,,,,,,,,
F du Plessis,13,13,2,449,87*,40.81,319,140.75,0,4,1,42,14
(Chennai Super Kings),,,,,,,,,,,,,
DA Warner,13,13,1,444,66,37,329,134.95,0,3,0,39,13
(Sunrisers Hyderabad),,,,,,,,,,,,,
Shubman Gill,14,14,1,440,70*,33.84,373,117.96,0,3,0,44,9
(Kolkata Knight Riders),,,,,,,,,,,,,
MA Agarwal,11,11,0,424,106,38.54,271,156.45,1,2,0,44,15
(Kings XI Punjab),,,,,,,,,,,,,
SS Iyer,14,14,1,421,88*,32.38,343,122.74,0,2,0,30,14
(Delhi Capitals),,,,,,,,,,,,,
Q de Kock,13,13,2,418,78*,38,308,135.71,0,4,1,36,18
(Mumbai Indians),,,,,,,,,,,,,
EJG Morgan,14,14,4,418,68*,41.8,302,138.41,0,1,0,32,24
(Kolkata Knight Riders),,,,,,,,,,,,,
AB de Villiers,14,13,4,398,73*,44.22,243,163.78,0,4,1,28,23
(Royal Challengers Bangalore),,,,,,,,,,,,,
Ishan Kishan,11,10,2,395,99,49.37,275,143.63,0,3,1,28,24
(Mumbai Indians),,,,,,,,,,,,,
MK Pandey,13,13,2,380,83*,34.54,298,127.51,0,3,0,29,17
(Sunrisers Hyderabad),,,,,,,,,,,,,
SV Samson,14,14,1,375,85,28.84,236,158.89,0,3,2,21,26
(Rajasthan Royals),,,,,,,,,,,,,
SA Yadav,13,12,3,374,79*,41.55,244,153.27,0,3,2,49,8
(Mumbai Indians),,,,,,,,,,,,,
AT Rayudu,12,11,2,359,71,39.88,282,127.3,0,1,0,30,12
(Chennai Super Kings),,,,,,,,,,,,,
N Pooran,14,14,4,353,77,35.3,208,169.71,0,2,1,23,25
(Kings XI Punjab),,,,,,,,,,,,,
N Rana,14,14,0,352,87,25.14,254,138.58,0,3,3,43,12
(Kolkata Knight Riders),,,,,,,,,,,,,
JM Bairstow,11,11,0,345,97,31.36,272,126.83,0,3,1,31,13
(Sunrisers Hyderabad),,,,,,,,,,,,,
JC Buttler,13,12,2,328,70*,32.8,227,144.49,0,2,0,27,16
(Rajasthan Royals),,,,,,,,,,,,,
SPD Smith,14,14,2,311,69,25.91,237,131.22,0,3,0,32,9
(Rajasthan Royals),,,,,,,,,,,,,
SR Watson,11,11,1,299,83*,29.9,247,121.05,0,2,0,33,13
(Chennai Super Kings),,,,,,,,,,,,,
CH Gayle,7,7,0,288,99,41.14,210,137.14,0,3,0,15,23
(Kings XI Punjab),,,,,,,,,,,,,
BA Stokes,8,8,1,285,107*,40.71,200,142.5,1,1,0,36,7
(Rajasthan Royals),,,,,,,,,,,,,
RR Pant,11,11,2,282,38,31.33,251,112.35,0,0,0,27,7
(Delhi Capitals),,,,,,,,,,,,,
RG Sharma,9,9,0,260,80,28.88,201,129.35,0,2,0,22,15
(Mumbai Indians),,,,,,,,,,,,,
R Tewatia,14,11,5,255,53,42.5,183,139.34,0,1,0,13,17
(Rajasthan Royals),,,,,,,,,,,,,
MP Stoinis,14,14,3,249,53*,22.63,163,152.76,0,2,0,20,12
(Delhi Capitals),,,,,,,,,,,,,
HH Pandya,12,11,4,241,60*,34.42,138,174.63,0,1,1,14,20
(Mumbai Indians),,,,,,,,,,,,,
AJ Finch,11,11,0,236,52,21.45,211,111.84,0,1,0,25,7
(Royal Challengers Bangalore),,,,,,,,,,,,,
RA Jadeja,14,11,6,232,50,46.4,135,171.85,0,1,0,22,11
(Chennai Super Kings),,,,,,,,,,,,,
RA Tripathi,11,11,1,230,81,23,181,127.07,0,1,0,21,10
(Kolkata Knight Riders),,,,,,,,,,,,,
PP Shaw,12,12,0,228,66,19,165,138.18,0,2,2,27,8
(Delhi Capitals),,,,,,,,,,,,,
KA Pollard,13,9,7,218,60*,109,109,200,0,1,0,11,18
(Mumbai Indians),,,,,,,,,,,,,
RD Gaikwad,6,6,2,204,72,51,169,120.71,0,3,2,16,6
(Chennai Super Kings),,,,,,,,,,,,,
KS Williamson,9,9,3,200,57,33.33,148,135.13,0,1,0,19,4
(Sunrisers Hyderabad),,,,,,,,,,,,,
MS Dhoni,14,12,4,200,47*,25,172,116.27,0,0,0,16,7
(Chennai Super Kings),,,,,,,,,,,,,
RV Uthappa,12,12,0,196,41,16.33,164,119.51,0,0,0,19,7
(Rajasthan Royals),,,,,,,,,,,,,
SM Curran,14,11,3,186,52,23.25,141,131.91,0,1,2,12,12
(Chennai Super Kings),,,,,,,,,,,,,
KD Karthik,14,14,2,169,58,14.08,134,126.11,0,1,3,20,4
(Kolkata Knight Riders),,,,,,,,,,,,,
WP Saha,3,3,0,156,87,52,108,144.44,0,1,0,17,4
(Sunrisers Hyderabad),,,,,,,,,,,,,
PJ Cummins,14,11,4,146,53*,20.85,114,128.07,0,1,0,9,8
(Kolkata Knight Riders),,,,,,,,,,,,,
SO Hetmyer,10,9,2,138,45,19.71,98,140.81,0,0,0,6,11
(Delhi Capitals),,,,,,,,,,,,,
Mandeep Singh,7,7,1,130,66*,21.66,109,119.26,0,1,2,10,4
(Kings XI Punjab),,,,,,,,,,,,,
S Dube,10,8,2,121,27*,20.16,92,131.52,0,0,0,5,9
(Royal Challengers Bangalore),,,,,,,,,,,,,
SP Narine,10,9,0,121,64,13.44,85,142.35,0,1,2,10,8
(Kolkata Knight Riders),,,,,,,,,,,,,
AD Russell,10,9,0,117,25,13,81,144.44,0,0,0,9,9
(Kolkata Knight Riders),,,,,,,,,,,,,
JC Archer,14,10,4,113,27*,18.83,63,179.36,0,0,0,5,10
(Rajasthan Royals),,,,,,,,,,,,,
AM Rahane,6,6,0,111,60,18.5,100,111,0,1,1,12,2
